,,,,,,,,,,,
NAME,DATE,RACENAME,COURSE,TRACK,DISTANCE,CONDITION,FINISHTIME,FINISHPOSITION,MARGIN,WEIGHT,SEX
AURORA LADY (J066),11/02/25,149,HAPPY VALLEY,Turf,1200,GOOD TO FIRM,1.09.09,3,1-1/4,124,Stallion
AURORA LADY (J066),"Oct 22,2025",119,HAPPY VALLEY,Turf,1000,GOOD,0.56.82,4,3-3/4,130,Stallion
AURORA LADY (J066),"Jul 16,2025",846,HAPPY VALLEY,Turf,1200,GOOD TO FIRM,1.08.65,3,3-1/2,119,Stallion
AURORA LADY (J066),"Jun 28,2025",794,SHA TIN,Turf,1000,GOOD,0.56.56,6,5-1/2,120,Stallion
AURORA LADY (J066),06/04/25,736,HAPPY VALLEY,Turf,1200,GOOD TO YIELDING,1.10.07,6,2-1/2,129,Stallion
AURORA LADY (J066),"Apr 30,2025",632,HAPPY VALLEY,Turf,1000,GOOD TO FIRM,0.56.56,4,3,128,Stallion
AURORA LADY (J066),"Mar 19,2025",523,HAPPY VALLEY,Turf,1200,GOOD TO FIRM,1.09.02,2,1-1/4,128,Stallion
AURORA LADY (J066),"Feb 26,2025",464,HAPPY VALLEY,Turf,1200,GOOD,1.09.26,1,1-1/4,134,Stallion
AURORA LADY (J066),"Jan 31,2025",392,SHA TIN,Turf,1400,GOOD,1.21.67,9,2-1/2,116,Stallion
AURORA LADY (J066),"Jan 15,2025",355,HAPPY VALLEY,Turf,1200,GOOD,1.10.25,2,SH,135,Stallion
AURORA LADY (J066),"Dec 26,2024",295,HAPPY VALLEY,Turf,1200,GOOD,1.09.15,1,SH,130,Stallion
AURORA LADY (J066),12/04/24,238,HAPPY VALLEY,Turf,1200,GOOD,1.09.50,1,1-3/4,121,Stallion
AURORA LADY (J066),"Nov 24,2024",210,SHA TIN,Turf,1200,GOOD TO FIRM,1.08.95,4,3,117,Stallion
AURORA LADY (J066),11/06/24,164,HAPPY VALLEY,Turf,1200,GOOD,1.09.70,5,1-1/4,120,Stallion
AURORA LADY (J066),10/09/24,88,HAPPY VALLEY,Turf,1200,GOOD,1.10.00,1,4-1/4,128,Stallion
AURORA LADY (J066),"Sep 25,2024",53,HAPPY VALLEY,Turf,1200,GOOD,1.10.10,4,1,128,Stallion
AURORA LADY (J066),09/11/24,13,HAPPY VALLEY,Turf,1200,GOOD,1.10.95,3,3-1/2,128,Stallion
AURORA LADY (J066),07/04/24,796,HAPPY VALLEY,Turf,1200,GOOD,1.10.06,3,1-1/2,130,Stallion
AURORA LADY (J066),06/08/24,733,SHA TIN,Turf,1000,GOOD,0.57.40,7,4-3/4,128,Stallion
AURORA LADY (J066),"May 26,2024",697,SHA TIN,Turf,1000,GOOD,0.56.31,2,1-1/4,127,Stallion
AWESOME FLUKE (J050),"Nov 12,2025",177,HAPPY VALLEY,Turf,1800,GOOD TO FIRM,1.49.61,1,SH,130,Stallion
AWESOME FLUKE (J050),"Oct 19,2025",113,SHA TIN,Turf,1600,GOOD TO FIRM,1.35.33,13,10-1/4,135,Stallion
AWESOME FLUKE (J050),"Mar 15,2025",511,SHA TIN,Turf,1600,GOOD TO YIELDING,1.35.68,3,3-3/4,115,Stallion
AWESOME FLUKE (J050),"Dec 29,2024",299,SHA TIN,Turf,2000,GOOD,2.01.37,6,2-1/2,124,Stallion
AWESOME FLUKE (J050),"Nov 17,2024",190,SHA TIN,Turf,2000,GOOD,2.01.60,10,11-3/4,123,Stallion
AWESOME FLUKE (J050),"Oct 13,2024",95,SHA TIN,Turf,2000,GOOD TO FIRM,2.01.46,3,SH,130,Stallion
AWESOME FLUKE (J050),"Sep 22,2024",42,SHA TIN,Turf,1600,GOOD TO YIELDING,1.36.47,3,1-1/4,135,Stallion
AWESOME FLUKE (J050),"Jul 10,2024",820,HAPPY VALLEY,Turf,1800,GOOD TO FIRM,1.49.12,4,1-1/2,135,Stallion
AWESOME FLUKE (J050),"Jun 23,2024",768,SHA TIN,Turf,2000,GOOD TO FIRM,2.01.23,1,1-1/4,129,Stallion
AWESOME FLUKE (J050),"May 26,2024",696,SHA TIN,Turf,2000,GOOD,2.01.65,1,N,120,Stallion
AWESOME FLUKE (J050),"May 15,2024",668,HAPPY VALLEY,Turf,1800,GOOD,1.49.64,3,3,125,Stallion
AWESOME FLUKE (J050),"Apr 7,2024",568,SHA TIN,Turf,2000,GOOD,2.03.37,6,4-1/2,126,Stallion
AWESOME FLUKE (J050),"Mar 3,2024",473,SHA TIN,Turf,2000,GOOD,--,WX,,130,Stallion
AWESOME FLUKE (J050),"Mar 3,2024",471,SHA TIN,Turf,1800,GOOD,1.48.94,14,7-1/2,126,Stallion
AWESOME FLUKE (J050),"Feb 4,2024",392,SHA TIN,Turf,2000,GOOD,2.02.68,6,4-1/4,130,Stallion
AWESOME FLUKE (J050),"Jan 10,2024",331,HAPPY VALLEY,Turf,1800,GOOD,1.51.09,11,4,128,Stallion
AWESOME FLUKE (J050),"Dec 23,2023",275,SHA TIN,Turf,2000,GOOD,2.04.51,9,17,116,Stallion
AWESOME FLUKE (J050),"Dec 10,2023",237,SHA TIN,Turf,1800,GOOD,1.48.72,4,4-1/2,135,Stallion
AWESOME FLUKE (J050),"Dec 3,2023",222,SHA TIN,Turf,1400,GOOD,1.22.53,3,1-1/4,130,Stallion
A AMERIC TE SPECSO (H037),"Nov 12,2025",177,HAPPY VALLEY,Turf,1800,GOOD TO FIRM,1.49.68,5,N,129,Stallion
A AMERIC TE SPECSO (H037),"Nov 5,2025",159,HAPPY VALLEY,Turf,1650,GOOD TO FIRM,1.39.16,3,3,128,Stallion
A AMERIC TE SPECSO (H037),"Oct 22,2025",121,HAPPY VALLEY,Turf,1650,GOOD,1.39.62,2,3,130,Stallion
A AMERIC TE SPECSO (H037),"Oct 8,2025",84,HAPPY VALLEY,Turf,1200,GOOD TO FIRM,1.09.48,6,2-1/2,127,Stallion
A AMERIC TE SPECSO (H037),"Jul 16,2025",845,HAPPY VALLEY,Turf,1650,GOOD TO FIRM,1.38.59,4,1-1/2,131,Stallion
A AMERIC TE SPECSO (H037),"Jun 25,2025",785,HAPPY VALLEY,Turf,1650,GOOD TO FIRM,1.40.32,10,7-3/4,132,Stallion
A AMERIC TE SPECSO (H037),"Jun 11,2025",754,HAPPY VALLEY,Turf,1650,GOOD TO FIRM,1.40.20,6,1-1/2,133,Stallion
A AMERIC TE SPECSO (H037),"May 21,2025",695,HAPPY VALLEY,Turf,1650,GOOD TO FIRM,1.40.42,9,4-1/2,132,Stallion
A AMERIC TE SPECSO (H037),"Apr 30,2025",637,HAPPY VALLEY,Turf,1650,GOOD TO FIRM,1.38.91,1,N,125,Stallion
A AMERIC TE SPECSO (H037),"Apr 16,2025",600,HAPPY VALLEY,Turf,1650,GOOD TO FIRM,1.39.25,1,N,116,Stallion
A AMERIC TE SPECSO (H037),"Apr 2,2025",560,HAPPY VALLEY,Turf,1650,GOOD TO FIRM,1.39.24,7,4,118,Stallion
A AMERIC TE SPECSO (H037),"Mar 19,2025",521,HAPPY VALLEY,Turf,1650,GOOD TO FIRM,1.39.24,5,3-1/4,122,Stallion
A AMERIC TE SPECSO (H037),"Mar 5,2025",484,HAPPY VALLEY,Turf,1200,GOOD,1.10.37,6,3-3/4,124,Stallion
A AMERIC TE SPECSO (H037),"Feb 19,2025",445,HAPPY VALLEY,Turf,1200,GOOD,1.10.55,7,4,127,Stallion
A AMERIC TE SPECSO (H037),"Feb 5,2025",406,HAPPY VALLEY,Turf,1200,GOOD,1.10.00,5,1,124,Stallion
A AMERIC TE SPECSO (H037),"Jan 22,2025",375,HAPPY VALLEY,Turf,1200,GOOD,1.09.58,2,N,127,Stallion
A AMERIC TE SPECSO (H037),"Jan 8,2025",335,HAPPY VALLEY,Turf,1200,GOOD,1.09.90,6,2-1/4,127,Stallion
A AMERIC TE SPECSO (H037),"Dec 11,2024",256,HAPPY VALLEY,Turf,1000,GOOD,0.57.34,4,1-1/2,129,Stallion
A AMERIC TE SPECSO (H037),"Jun 26,2024",781,HAPPY VALLEY,Turf,1200,GOOD,1.10.22,6,4-3/4,130,Stallion
A AMERIC TE SPECSO (H037),"Jun 5,2024",731,HAPPY VALLEY,Turf,1200,GOOD TO YIELDING,1.10.77,3,1-1/2,130,Stallion
A AMERIC TE SPECSO (H037),"May 15,2024",674,HAPPY VALLEY,Turf,1200,GOOD,1.10.60,7,4-1/2,128,Stallion
A AMERIC TE SPECSO (H037),"Mar 20,2024",521,HAPPY VALLEY,Turf,1200,GOOD,1.10.16,5,1-1/2,129,Stallion
A AMERIC TE SPECSO (H037),"Feb 28,2024",463,HAPPY VALLEY,Turf,1200,GOOD,1.10.98,3,2,128,Stallion
A AMERIC TE SPECSO (H037),"Feb 15,2024",422,HAPPY VALLEY,Turf,1200,GOOD,1.10.51,1,HD,127,Stallion
A AMERIC TE SPECSO (H037),"Jan 31,2024",386,HAPPY VALLEY,Turf,1200,GOOD,1.10.18,4,2-3/4,123,Stallion
A AMERIC TE SPECSO (H037),"Jan 10,2024",332,HAPPY VALLEY,Turf,1200,GOOD,1.10.30,3,2-1/2,126,Stallion
A AMERIC TE SPECSO (H037),"Dec 29,2023",295,HAPPY VALLEY,Turf,1200,GOOD,1.10.54,7,2,125,Stallion
A AMERIC TE SPECSO (H037),"Dec 13,2023",250,HAPPY VALLEY,Turf,1200,GOOD,1.10.18,3,1-1/4,125,Stallion
A AMERIC TE SPECSO (H037),"Nov 22,2023",194,HAPPY VALLEY,Turf,1200,GOOD,1.10.16,2,N,122,Stallion
A AMERIC TE SPECSO (H037),"Nov 8,2023",153,HAPPY VALLEY,Turf,1200,GOOD,1.09.61,1,3,135,Stallion
ATULLIBIGEAL (G173),"Nov 12,2025",177,HAPPY VALLEY,Turf,1800,GOOD TO FIRM,1.50.04,8,2-3/4,129,Stallion
ATULLIBIGEAL (G173),"Oct 22,2025",121,HAPPY VALLEY,Turf,1650,GOOD,1.39.85,4,2-1/4,132,Stallion
ATULLIBIGEAL (G173),"Oct 4,2025",75,SHA TIN,Turf,1800,GOOD TO FIRM,1.47.72,10,2-3/4,130,Stallion
ATULLIBIGEAL (G173),"Sep 28,2025",55,SHA TIN,Turf,1600,GOOD TO FIRM,1.34.52,7,2-3/4,133,Stallion
ATULLIBIGEAL (G173),"Sep 7,2025",10,SHA TIN,Turf,1400,GOOD,1.22.08,10,3-1/4,134,Stallion
ATULLIBIGEAL (G173),"Jul 13,2025",836,SHA TIN,Turf,1600,GOOD TO FIRM,1.34.42,3,1-3/4,131,Stallion
ATULLIBIGEAL (G173),"Jun 22,2025",776,SHA TIN,Turf,1600,GOOD,1.34.46,2,3,135,Stallion
ATULLIBIGEAL (G173),"May 25,2025",700,SHA TIN,Turf,1400,GOOD,1.21.88,7,4-1/4,116,Stallion
ATULLIBIGEAL (G173),"May 10,2025",668,SHA TIN,Turf,1200,GOOD,1.09.86,12,8-3/4,117,Stallion
ATULLIBIGEAL (G173),"Jan 26,2025",378,SHA TIN,Turf,1600,GOOD,1.35.63,8,6-1/4,120,Stallion
ATULLIBIGEAL (G173),"Dec 29,2024",299,SHA TIN,Turf,2000,GOOD,2.01.73,10,4-3/4,129,Stallion
ATULLIBIGEAL (G173),"Dec 4,2024",239,HAPPY VALLEY,Turf,1800,GOOD,1.49.65,10,3-3/4,125,Stallion
ATULLIBIGEAL (G173),"Nov 24,2024",208,SHA TIN,Turf,1600,GOOD TO FIRM,1.34.05,9,4-1/2,121,Stallion
ATULLIBIGEAL (G173),"Nov 9,2024",172,SHA TIN,Turf,1400,GOOD TO FIRM,1.20.93,9,3-3/4,123,Stallion
ATULLIBIGEAL (G173),"Oct 13,2024",102,SHA TIN,Turf,1200,GOOD TO FIRM,1.09.21,9,5-3/4,131,Stallion
ATULLIBIGEAL (G173),"Jul 14,2024",828,SHA TIN,Turf,1600,GOOD,1.34.55,4,4-3/4,126,Stallion
ATULLIBIGEAL (G173),"Jul 1,2024",787,SHA TIN,Turf,1400,GOOD,1.21.23,5,3-1/4,135,Stallion
ATULLIBIGEAL (G173),"Jun 2,2024",719,SHA TIN,Turf,1600,GOOD TO FIRM,1.34.43,5,3,115,Stallion
ATULLIBIGEAL (G173),"May 19,2024",677,SHA TIN,Turf,1400,GOOD,1.21.59,2,SH,122,Stallion
