,,,,,,,,,,,
NAME,DATE,RACENAME,COURSE,TRACK,DISTANCE,CONDITION,FINISHTIME,FINISHPOSITION,MARGIN,WEIGHT,SEX
Special Week,"Dec 26,1999",ARIMA KINEN (GRAND PRIX) G1,NAKAYAMA,TURF,2500M,FIRM,2:37.2,2,0,464 (-4),Stallion
Special Week,"Nov 28,1999",JAPAN CUP G1,TOKYO,TURF,2400M,FIRM,2:25.5,1,0.2,468 (-2),Stallion
Special Week,"Oct 31,1999",TENNO SHO(AUTUMN) G1,TOKYO,TURF,2000M,FIRM,1:58.0,1,0.1,470 (-16),Stallion
Special Week,"Oct 10,1999",KYOTO DAISHOTEN G2,KYOTO,TURF,2400M,FIRM,2:25.1,7,0.8,486 (+6),Stallion
Special Week,"Jul 11,1999",TAKARAZUKA KINEN G1,HANSHIN,TURF,2200M,FIRM,2:12.6,2,0.5,480 (+4),Stallion
Special Week,"May 02,1999",TENNO SHO(SPRING) G1,KYOTO,TURF,3200M,FIRM,3:15.3,1,0.1,476 (0),Stallion
Special Week,"Mar 21,1999",HANSHIN DAISHOTEN G2,HANSHIN,TURF,3000M,SOFT,3:13.4,1,0.1,476 (+10),Stallion
Special Week,"Jan 24,1999",AMERICAN JOCKEY CLUB CUP G2,NAKAYAMA,TURF,2200M,FIRM,2:16.8,1,0.5,466 (-4),Stallion
Special Week,"Nov 29,1998",JAPAN CUP G1,TOKYO,TURF,2400M,FIRM,2:26.4,3,0.5,470 (-6),Stallion
Special Week,"Nov 08,1998",KIKUKA SHO (JAPANESE ST.LEGER) G1,KYOTO,TURF,3000M,FIRM,3:03.8,2,0.6,476 (-2),Stallion
Special Week,"Oct 18,1998",KYOTO SHIMBUN HAI G2,KYOTO,TURF,2200M,GOOD,2:15.0,1,0.1,478 (+10),Stallion
Special Week,"Jun 07,1998",TOKYO YUSHUN (JAPANESE DERBY) G1,TOKYO,TURF,2400M,GOOD,2:25.8,1,0.9,468 (-8),Stallion
Special Week,"Apr 19,1998",SATSUKI SHO(JAPANESE 2000 GUINEAS) G1,NAKAYAMA,TURF,2000M,FIRM,2:01.6,3,0.3,476 (+10),Stallion
Special Week,"Mar 08,1998",HOCHI HAI YAYOI SHO G2,NAKAYAMA,TURF,2000M,FIRM,2:01.8,1,0.1,466 (0),Stallion
Special Week,"Feb 08,1998",KISARAGI SHO(NHK SHO) G3,KYOTO,TURF,1800M,FIRM,1:51.3,1,0.6,466 (-6),Stallion
Special Week,"Jan 06,1998",SHIRAUME SHO,KYOTO,TURF,1600M,FIRM,1:36.0,2,0,472 (+8),Stallion
Wonder Acute,"Sep 6,2003",THREE-YEAR-OLD &amp; UP,MIZUSAWA,DIRT,1300M,FAST,1:26.3,9,2,480 (+4),Mare
Wonder Acute,"August 23,2003",THREE-YEAR-OLD &amp; UP,MIZUSAWA,DIRT,1300M,FAST,1:25.9,7,1.1,476 (-5),Mare
Wonder Acute,"Aug 13,2003",THREE-YEAR-OLD &amp; UP,MORIOKA,DIRT,1200M,FAST,1:16.9,6,0.8,481 (-6),Mare
Wonder Acute,"Jul 26,2003",THREE-YEAR-OLD &amp; UP,MORIOKA,DIRT,1200M,GOOD,1:17.3,9,1.2,487 (+1),Mare
